"","dataset_origin","subject","activity","measure","mean"
"1","TRAIN","1","LAYING","body_acceleration_average_frequency-x",0.25297619936
"2","TRAIN","1","LAYING","body_acceleration_average_frequency-y",0.305871713986
"3","TRAIN","1","LAYING","body_acceleration_average_frequency-z",0.36414313694
"4","TRAIN","1","LAYING","body_acceleration_jerk_average_frequency-x",0.188888090658
"5","TRAIN","1","LAYING","body_acceleration_jerk_average_frequency-y",0.217713952392
"6","TRAIN","1","LAYING","body_acceleration_jerk_average_frequency-z",0.2242290704
"7","TRAIN","1","LAYING","body_acceleration_jerk_magnitude_mean_time",0.9543962646
"8","TRAIN","1","LAYING","body_acceleration_jerk_magnitude_standard_deviation_time",0.9282456284
"9","TRAIN","1","LAYING","body_acceleration_jerk_mean_frequency-x",0.9570738838
"10","TRAIN","1","LAYING","body_acceleration_jerk_mean_frequency-y",0.9224626098
"11","TRAIN","1","LAYING","body_acceleration_jerk_mean_frequency-z",0.9480609042
"12","TRAIN","1","LAYING","body_acceleration_jerk_mean_time-x",0.08477792328
"13","TRAIN","1","LAYING","body_acceleration_jerk_mean_time-y",0.048154106278
"14","TRAIN","1","LAYING","body_acceleration_jerk_mean_time-z",0.0589356773914
"15","TRAIN","1","LAYING","body_acceleration_jerk_standard_deviation_frequency-x",0.9641607086
"16","TRAIN","1","LAYING","body_acceleration_jerk_standard_deviation_frequency-y",0.9322178704
"17","TRAIN","1","LAYING","body_acceleration_jerk_standard_deviation_frequency-z",0.9605869872
"18","TRAIN","1","LAYING","body_acceleration_jerk_standard_deviation_time-x",0.958482112
"19","TRAIN","1","LAYING","body_acceleration_jerk_standard_deviation_time-y",0.9241492736
"20","TRAIN","1","LAYING","body_acceleration_jerk_standard_deviation_time-z",0.9548551108
"21","TRAIN","1","LAYING","body_acceleration_magnitude_average_frequency",0.46600083574
"22","TRAIN","1","LAYING","body_acceleration_magnitude_mean_frequency",0.8617676481
"23","TRAIN","1","LAYING","body_acceleration_magnitude_mean_time",0.8537227109
"24","TRAIN","1","LAYING","body_acceleration_magnitude_standard_deviation_frequency",0.81414352276
"25","TRAIN","1","LAYING","body_acceleration_magnitude_standard_deviation_time",0.81091300682
"26","TRAIN","1","LAYING","body_acceleration_mean_frequency-x",0.9390990524
"27","TRAIN","1","LAYING","body_acceleration_mean_frequency-y",0.87875433762
"28","TRAIN","1","LAYING","body_acceleration_mean_frequency-z",0.8826668762
"29","TRAIN","1","LAYING","body_acceleration_mean_time-x",0.2693312781
"30","TRAIN","1","LAYING","body_acceleration_mean_time-y",0.0517071797226
"31","TRAIN","1","LAYING","body_acceleration_mean_time-z",0.14674979098
"32","TRAIN","1","LAYING","body_acceleration_standard_deviation_frequency-x",0.9244374346
"33","TRAIN","1","LAYING","body_acceleration_standard_deviation_frequency-y",0.8636951513
"34","TRAIN","1","LAYING","body_acceleration_standard_deviation_frequency-z",0.8209390966
"35","TRAIN","1","LAYING","body_acceleration_standard_deviation_time-x",0.9280564692
"36","TRAIN","1","LAYING","body_acceleration_standard_deviation_time-y",0.86212533238
"37","TRAIN","1","LAYING","body_acceleration_standard_deviation_time-z",0.828518179652
"38","TRAIN","1","LAYING","body_body_acceleration_jerk_magnitude_average_frequency",0.37464174124
"39","TRAIN","1","LAYING","body_body_acceleration_jerk_magnitude_mean_frequency",0.9333003608
"40","TRAIN","1","LAYING","body_body_acceleration_jerk_magnitude_standard_deviation_frequency",0.9218039756
"41","TRAIN","1","LAYING","body_body_gyroscope_jerk_magnitude_average_frequency",0.394034919
"42","TRAIN","1","LAYING","body_body_gyroscope_jerk_magnitude_mean_frequency",0.9423669466
"43","TRAIN","1","LAYING","body_body_gyroscope_jerk_magnitude_standard_deviation_frequency",0.9326606676
"44","TRAIN","1","LAYING","body_body_gyroscope_magnitude_average_frequency",0.29622677626
"45","TRAIN","1","LAYING","body_body_gyroscope_magnitude_mean_frequency",0.8663920362
"46","TRAIN","1","LAYING","body_body_gyroscope_magnitude_standard_deviation_frequency",0.84137771728
"47","TRAIN","1","LAYING","body_gyroscope_average_frequency-x",0.307570065036
"48","TRAIN","1","LAYING","body_gyroscope_average_frequency-y",0.207854634042
"49","TRAIN","1","LAYING","body_gyroscope_average_frequency-z",0.2432886055
"50","TRAIN","1","LAYING","body_gyroscope_jerk_magnitude_mean_time",0.96346103
"51","TRAIN","1","LAYING","body_gyroscope_jerk_magnitude_standard_deviation_time",0.9358409828
"52","TRAIN","1","LAYING","body_gyroscope_jerk_mean_time-x",0.135796284792
"53","TRAIN","1","LAYING","body_gyroscope_jerk_mean_time-y",0.04916232077
"54","TRAIN","1","LAYING","body_gyroscope_jerk_mean_time-z",0.0783012883
"55","TRAIN","1","LAYING","body_gyroscope_jerk_standard_deviation_time-x",0.9186085208
"56","TRAIN","1","LAYING","body_gyroscope_jerk_standard_deviation_time-y",0.9679072436
"57","TRAIN","1","LAYING","body_gyroscope_jerk_standard_deviation_time-z",0.9577901596
